pathway	abundance	LIBID
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)|g__Escherichia.s__Escherichia_fergusonii	22.1152808167	MBM168
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)|g__Klebsiella.s__Klebsiella_pneumoniae	2.8979134862000002	MBM168
PWY-7790: UMP biosynthesis II	180.2459844187	MBM168
PWY-7790: UMP biosynthesis II|g__Escherichia.s__Escherichia_coli	35.7682701603	MBM168
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_fragilis	19.6295435761	MBM168
PWY-7791: UMP biosynthesis III	180.2459844187	MBM168
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_fragilis	30.1833754423	MBM168
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)	176.1847489507	MBM168
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)|unclassified	69.3949025358	MBM168
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)|g__Escherichia.s__Escherichia_coli	14.9328918613	MBM168
PWY-5941: glycogen degradation II	174.8982903116	MBM168
PWY-5941: glycogen degradation II|g__Escherichia.s__Escherichia_coli	111.034039366	MBM168
PWY-5941: glycogen degradation II|g__Klebsiella.s__Klebsiella_quasipneumoniae	29.8675104634	MBM168
PWY-5941: glycogen degradation II|unclassified	19.1367749944	MBM168
PWY-6961: L-ascorbate degradation II (bacterial, aerobic)	165.2925908562	MBM168
GLYCOCAT-PWY: glycogen degradation I	165.1392041162	MBM168
GLYCOCAT-PWY: glycogen degradation I|g__Escherichia.s__Escherichia_coli	101.1966541216	MBM168
GLYCOCAT-PWY: glycogen degradation I|g__Klebsiella.s__Klebsiella_quasipneumoniae	26.5178161654	MBM168
GLYCOCAT-PWY: glycogen degradation I|unclassified	17.8913273378	MBM168
GLUDEG-I-PWY: GABA shunt	164.039999053	MBM168
GLUDEG-I-PWY: GABA shunt|unclassified	23.3143393019	MBM168
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I	157.6096973097	MBM168
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I|g__Escherichia.s__Escherichia_coli	91.9430095451	MBM168
PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis	157.6096973097	MBM168
PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis|g__Escherichia.s__Escherichia_coli	91.9430095451	MBM168
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	150.0027719547	MBM168
PWY-6731: starch degradation III	149.2249413846	MBM168
PWY-6731: starch degradation III|g__Bacteroides.s__Bacteroides_fragilis	65.5767502029	MBM168
PWY-6731: starch degradation III|unclassified	47.5570136129	MBM168
PWY0-1338: polymyxin resistance	141.2647288744	MBM168
PWY0-1338: polymyxin resistance|g__Escherichia.s__Escherichia_coli	93.9532883232	MBM168
PWY0-1338: polymyxin resistance|unclassified	33.7162639583	MBM168
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	139.9533499044	MBM168
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|unclassified	63.2516932192	MBM168
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_fragilis	35.3489081588	MBM168
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Klebsiella.s__Klebsiella_quasipneumoniae	12.2488328514	MBM168
DARABCATK12-PWY: D-arabinose degradation I	138.497937366	MBM168
DARABCATK12-PWY: D-arabinose degradation I|g__Escherichia.s__Escherichia_coli	135.294741232	MBM168
PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)	135.8758327148	MBM168
PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)|g__Escherichia.s__Escherichia_coli	59.7905677281	MBM168
PWY-7942: 5-oxo-L-proline metabolism	122.5481316862	MBM168
PWY-7942: 5-oxo-L-proline metabolism|g__Klebsiella.s__Klebsiella_quasipneumoniae	4.9488165057	MBM168
PWY-7165: L-ascorbate biosynthesis VIII (engineered pathway)	122.3688002281	MBM168
PWY-7238: sucrose biosynthesis II	119.3318208026	MBM168
PWY-7238: sucrose biosynthesis II|g__Escherichia.s__Escherichia_coli	75.5032511175	MBM168
PWY-7238: sucrose biosynthesis II|g__Klebsiella.s__Klebsiella_quasipneumoniae	22.1942215402	MBM168
PWY-7238: sucrose biosynthesis II|unclassified	13.1018713668	MBM168
PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)	113.9117033232	MBM168
PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)|g__Escherichia.s__Escherichia_coli	76.7061442911	MBM168
PWY0-461: L-lysine degradation I	111.8550967017	MBM168
PWY0-461: L-lysine degradation I|g__Escherichia.s__Escherichia_coli	35.4603528057	MBM168
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	109.7617272344	MBM168
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)|unclassified	30.5557431807	MBM168
PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	103.2560313652	MBM168
HSERMETANA-PWY: L-methionine biosynthesis III	99.9421582073	MBM168
HSERMETANA-PWY: L-methionine biosynthesis III|g__Bacteroides.s__Bacteroides_fragilis	75.5606488276	MBM168
HSERMETANA-PWY: L-methionine biosynthesis III|unclassified	36.5612082757	MBM168
PWY-7234: inosine-5'-phosphate biosynthesis III	94.5780375613	MBM168
PWY-7234: inosine-5'-phosphate biosynthesis III|g__Escherichia.s__Escherichia_coli	10.7329810275	MBM168
PWY-7234: inosine-5'-phosphate biosynthesis III|g__Klebsiella.s__Klebsiella_quasipneumoniae	5.4715426603	MBM168
PWY-2941: L-lysine biosynthesis II	92.5172758151	MBM168
PWY-5497: purine nucleobases degradation II (anaerobic)	92.0921627204	MBM168
PWY-6606: guanosine nucleotides degradation II	91.8805412484	MBM168
PWY-6606: guanosine nucleotides degradation II|g__Escherichia.s__Escherichia_coli	69.6045819454	MBM168
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	89.6705720175	MBM168
PYRIDNUCSAL-PWY: NAD salvage pathway I (PNC VI cycle)	86.1520628185	MBM168
HISDEG-PWY: L-histidine degradation I	84.7543551431	MBM168
HISDEG-PWY: L-histidine degradation I|g__Klebsiella.s__Klebsiella_quasipneumoniae	64.0957924489	MBM168
HISDEG-PWY: L-histidine degradation I|g__Bacteroides.s__Bacteroides_fragilis	9.8027921201	MBM168
P42-PWY: incomplete reductive TCA cycle	81.3762665553	MBM168
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	79.9255770953	MBM168
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)|g__Escherichia.s__Escherichia_coli	44.0627031571	MBM168
PWY-7315: dTDP-N-acetylthomosamine biosynthesis	78.5093491597	MBM168
PWY-7315: dTDP-N-acetylthomosamine biosynthesis|unclassified	46.3672780958	MBM168
PWY-7315: dTDP-N-acetylthomosamine biosynthesis|g__Klebsiella.s__Klebsiella_quasipneumoniae	10.6571177635	MBM168
PWY66-430: myristate biosynthesis (mitochondria)	68.8407339937	MBM168
PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)	66.429987545	MBM168
PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	65.6770958999	MBM168
PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)|unclassified	56.2971976309	MBM168
AEROBACTINSYN-PWY: aerobactin biosynthesis	63.9388178948	MBM168
AEROBACTINSYN-PWY: aerobactin biosynthesis|g__Escherichia.s__Escherichia_coli	55.9073808575	MBM168
PWY3O-4107: NAD salvage pathway V (PNC V cycle)	62.7488926022	MBM168
THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes)	59.0745408422	MBM168
THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes)|unclassified	6.3046787114	MBM168
PWY-7874: L-threonate degradation	58.5261343019	MBM168
PWY-7874: L-threonate degradation|g__Escherichia.s__Escherichia_coli	27.587299192	MBM168
PWY-7874: L-threonate degradation|g__Klebsiella.s__Klebsiella_pneumoniae	7.9831810217	MBM168
PWY-8131: 5'-deoxyadenosine degradation II	57.469045339	MBM168
PWY-8131: 5'-deoxyadenosine degradation II|g__Escherichia.s__Escherichia_coli	21.2976645758	MBM168
PWY-7269: mitochondrial NADPH production (yeast)	57.207442166	MBM168
PWY-7269: mitochondrial NADPH production (yeast)|g__Klebsiella.s__Klebsiella_quasipneumoniae	2.609281731	MBM168
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	54.895144982	MBM168
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation|g__Escherichia.s__Escherichia_coli	3.9561028995	MBM168
PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)	53.2203757078	MBM168
PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)	49.1564755143	MBM168
PWY-7204: pyridoxal 5'-phosphate salvage II (plants)	36.2320999238	MBM168
PWY-7204: pyridoxal 5'-phosphate salvage II (plants)|g__Escherichia.s__Escherichia_coli	26.1629242286	MBM168
RHAMCAT-PWY: L-rhamnose degradation I	28.1368866616	MBM168
RHAMCAT-PWY: L-rhamnose degradation I|g__Klebsiella.s__Klebsiella_quasipneumoniae	20.3831955733	MBM168
RHAMCAT-PWY: L-rhamnose degradation I|g__Escherichia.s__Escherichia_coli	1.7765763568	MBM168
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	27.2962336433	MBM168
PWY-7209: superpathway of pyrimidine ribonucleosides degradation	24.051526633	MBM168
PWY-7209: superpathway of pyrimidine ribonucleosides degradation|g__Escherichia.s__Escherichia_coli	23.8103530974	MBM168
GALACTITOLCAT-PWY: galactitol degradation	23.8268883724	MBM168
GALACTITOLCAT-PWY: galactitol degradation|g__Escherichia.s__Escherichia_coli	13.1206791215	MBM168
GALACTITOLCAT-PWY: galactitol degradation|unclassified	8.4820829073	MBM168
PWY-7356: thiamine diphosphate salvage IV (yeast)	20.8784639121	MBM168
PWY-5705: allantoin degradation to glyoxylate III	18.115480913	MBM168
PWY-5705: allantoin degradation to glyoxylate III|unclassified	10.3926768708	MBM168
PWY-6293: superpathway of L-cysteine biosynthesis (fungi)	16.8339483259	MBM168
RUMP-PWY: formaldehyde oxidation I	14.1079712395	MBM168
RUMP-PWY: formaldehyde oxidation I|unclassified	13.2405750372	MBM168
PWY-5656: mannosylglycerate biosynthesis I	13.2437344452	MBM168
PWY-801: homocysteine and cysteine interconversion	12.4003399342	MBM168
PWY-801: homocysteine and cysteine interconversion|unclassified	10.4704364364	MBM168
PWY-6562: norspermidine biosynthesis	9.6792167713	MBM168
PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)	8.8540858938	MBM168
PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)	8.119699026	MBM168
PWY-5675: nitrate reduction V (assimilatory)	4.4631575576	MBM168
PWY-5675: nitrate reduction V (assimilatory)|unclassified	4.3452009841	MBM168
PWY0-41: allantoin degradation IV (anaerobic)	3.9697926169	MBM168
PWY0-41: allantoin degradation IV (anaerobic)|unclassified	3.5651122965	MBM168
PWY-5692: allantoin degradation to glyoxylate II	3.1948381774	MBM168
PWY-5692: allantoin degradation to glyoxylate II|unclassified	2.9713760501	MBM168
URDEGR-PWY: superpathway of allantoin degradation in plants	3.1948381774	MBM168
URDEGR-PWY: superpathway of allantoin degradation in plants|unclassified	2.9713760501	MBM168
UNINTEGRATED|g__Cutibacterium.s__Cutibacterium_acnes	559385.2455143128	MBM169
UNINTEGRATED|g__Streptococcus.s__Streptococcus_pneumoniae	534584.5434450309	MBM169
UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_capitis	303764.5066435898	MBM169
UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_aureus	290986.1865986546	MBM169
UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_lugdunensis	246176.4030673301	MBM169
UNINTEGRATED|g__Corynebacterium.s__Corynebacterium_resistens	189517.7434949744	MBM169
UNINTEGRATED|g__Staphylococcus.s__Staphylococcus_epidermidis	180522.6408641113	MBM169
UNINTEGRATED|unclassified	153095.9032501106	MBM169
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	111782.1758772449	MBM169
UNINTEGRATED|g__Micrococcus.s__Micrococcus_aloeverae	33560.3628881172	MBM169
UNINTEGRATED|g__Streptococcus.s__Streptococcus_mitis	32583.9633272977	MBM169
UNINTEGRATED|g__Micrococcus.s__Micrococcus_luteus	25368.0867457133	MBM169
UNINTEGRATED|g__Streptococcus.s__Streptococcus_oralis	14601.0341917843	MBM169
UNINTEGRATED|g__Streptococcus.s__Streptococcus_pseudopneumoniae	12577.5514516017	MBM169
UNINTEGRATED|g__Streptococcus.s__Streptococcus_milleri	2447.9536459964	MBM169
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	25851.8998329883	MBM169
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Streptococcus.s__Streptococcus_pneumoniae	7630.3133930713	MBM169
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Streptococcus.s__Streptococcus_salivarius	6916.7616874385	MBM169
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Micrococcus.s__Micrococcus_aloeverae	264.6784403741	MBM169
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Corynebacterium.s__Corynebacterium_resistens	59.9149945691	MBM169
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Micrococcus.s__Micrococcus_luteus	51.6319706494	MBM169
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Streptococcus.s__Streptococcus_mitis	42.8738642355	MBM169
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Streptococcus.s__Streptococcus_pseudopneumoniae	41.2920657469	MBM169
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|unclassified	30.5137505799	MBM169
PWY-1042: glycolysis IV	16473.6736673775	MBM169
PWY-1042: glycolysis IV|g__Streptococcus.s__Streptococcus_salivarius	7355.927689614	MBM169
PWY-1042: glycolysis IV|g__Streptococcus.s__Streptococcus_pneumoniae	2485.7527995741	MBM169
PWY-1042: glycolysis IV|g__Staphylococcus.s__Staphylococcus_capitis	1342.1214920301	MBM169
PWY-1042: glycolysis IV|g__Staphylococcus.s__Staphylococcus_lugdunensis	638.2177392574	MBM169
PWY-1042: glycolysis IV|g__Staphylococcus.s__Staphylococcus_aureus	551.013012242	MBM169
PWY-1042: glycolysis IV|g__Staphylococcus.s__Staphylococcus_epidermidis	546.1999984521	MBM169
PWY-1042: glycolysis IV|g__Streptococcus.s__Streptococcus_pseudopneumoniae	335.5200562219	MBM169
PWY-1042: glycolysis IV|g__Corynebacterium.s__Corynebacterium_resistens	240.1046765879	MBM169
PWY-1042: glycolysis IV|g__Streptococcus.s__Streptococcus_mitis	26.0694031894	MBM169
PWY-1042: glycolysis IV|g__Streptococcus.s__Streptococcus_milleri	19.4997185908	MBM169
PWY-1042: glycolysis IV|unclassified	11.7885871725	MBM169
PWY0-1296: purine ribonucleosides degradation	13569.4157772795	MBM169
PWY0-1296: purine ribonucleosides degradation|g__Streptococcus.s__Streptococcus_pneumoniae	5117.4619041347	MBM169
PWY0-1296: purine ribonucleosides degradation|g__Streptococcus.s__Streptococcus_salivarius	2347.3138984115	MBM169
PWY0-1296: purine ribonucleosides degradation|g__Streptococcus.s__Streptococcus_mitis	517.6767368962	MBM169
PWY0-1296: purine ribonucleosides degradation|g__Staphylococcus.s__Staphylococcus_lugdunensis	373.5191895004	MBM169
PWY0-1296: purine ribonucleosides degradation|g__Streptococcus.s__Streptococcus_pseudopneumoniae	322.2158819405	MBM169
PWY0-1296: purine ribonucleosides degradation|g__Corynebacterium.s__Corynebacterium_resistens	227.9602743446	MBM169
PWY0-1296: purine ribonucleosides degradation|g__Staphylococcus.s__Staphylococcus_epidermidis	167.9929488276	MBM169
PWY0-1296: purine ribonucleosides degradation|g__Streptococcus.s__Streptococcus_oralis	145.0046015556	MBM169
PWY0-1296: purine ribonucleosides degradation|g__Staphylococcus.s__Staphylococcus_capitis	141.6234931405	MBM169
PWY0-1296: purine ribonucleosides degradation|g__Staphylococcus.s__Staphylococcus_aureus	141.0446128314	MBM169
PWY0-1296: purine ribonucleosides degradation|unclassified	85.5452199871	MBM169
PWY0-1296: purine ribonucleosides degradation|g__Cutibacterium.s__Cutibacterium_acnes	17.3055020291	MBM169
PWY0-1296: purine ribonucleosides degradation|g__Micrococcus.s__Micrococcus_aloeverae	6.2225757092	MBM169
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	11473.5870551674	MBM169
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_pneumoniae	2283.081381077	MBM169
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Staphylococcus.s__Staphylococcus_capitis	1266.6088169486	MBM169
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_salivarius	710.7090200141	MBM169
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Staphylococcus.s__Staphylococcus_lugdunensis	543.6587101132	MBM169
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Staphylococcus.s__Staphylococcus_epidermidis	541.9131683766	MBM169
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Staphylococcus.s__Staphylococcus_aureus	201.2854867963	MBM169
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Corynebacterium.s__Corynebacterium_resistens	144.7375885228	MBM169
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_pseudopneumoniae	52.8883048852	MBM169
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Streptococcus.s__Streptococcus_mitis	51.5871979195	MBM169
FERMENTATION-PWY: mixed acid fermentation	9208.1044535422	MBM169
FERMENTATION-PWY: mixed acid fermentation|g__Staphylococcus.s__Staphylococcus_aureus	1475.2740219257	MBM169
FERMENTATION-PWY: mixed acid fermentation|g__Staphylococcus.s__Staphylococcus_epidermidis	220.1387118175	MBM169
FERMENTATION-PWY: mixed acid fermentation|unclassified	46.2090421316	MBM169
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	8917.2546218083	MBM169
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)|g__Streptococcus.s__Streptococcus_pneumoniae	984.3692791311	MBM169
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)|g__Staphylococcus.s__Staphylococcus_aureus	558.3536691728	MBM169
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)|g__Staphylococcus.s__Staphylococcus_capitis	517.8799293662	MBM169
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)|g__Staphylococcus.s__Staphylococcus_epidermidis	29.2741061419	MBM169
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	6777.9446267868	MBM169
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Streptococcus.s__Streptococcus_salivarius	1739.3487584375	MBM169
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Streptococcus.s__Streptococcus_pneumoniae	1193.9834276248	MBM169
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Staphylococcus.s__Staphylococcus_aureus	483.6402743504	MBM169
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Staphylococcus.s__Staphylococcus_capitis	306.2860158075	MBM169
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Corynebacterium.s__Corynebacterium_resistens	271.3663241567	MBM169
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Staphylococcus.s__Staphylococcus_lugdunensis	79.7553139927	MBM169
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Micrococcus.s__Micrococcus_aloeverae	47.3450236181	MBM169
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|unclassified	32.6242777548	MBM169
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Streptococcus.s__Streptococcus_pseudopneumoniae	28.8295246134	MBM169
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Streptococcus.s__Streptococcus_mitis	18.4438860779	MBM169
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Staphylococcus.s__Staphylococcus_epidermidis	15.3328785597	MBM169
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I	6395.0362627372	MBM169
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I|g__Streptococcus.s__Streptococcus_pneumoniae	1972.0002729416	MBM169
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I|g__Streptococcus.s__Streptococcus_salivarius	622.1567781424	MBM169
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I|g__Staphylococcus.s__Staphylococcus_epidermidis	207.1667551205	MBM169
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I|g__Corynebacterium.s__Corynebacterium_resistens	126.4122391102	MBM169
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I|g__Staphylococcus.s__Staphylococcus_aureus	113.6367202455	MBM169
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I|g__Staphylococcus.s__Staphylococcus_capitis	91.0929983651	MBM169
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I|g__Streptococcus.s__Streptococcus_pseudopneumoniae	39.971390433	MBM169
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I|g__Streptococcus.s__Streptococcus_mitis	28.595326653	MBM169
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I|unclassified	18.021523381	MBM169
PWY-5100: pyruvate fermentation to acetate and lactate II	6395.0362627372	MBM169
PWY-5100: pyruvate fermentation to acetate and lactate II|g__Streptococcus.s__Streptococcus_pneumoniae	1972.0002729416	MBM169
PWY-5100: pyruvate fermentation to acetate and lactate II|g__Streptococcus.s__Streptococcus_salivarius	622.1567781424	MBM169
PWY-5100: pyruvate fermentation to acetate and lactate II|g__Staphylococcus.s__Staphylococcus_capitis	409.588752632	MBM169
PWY-5100: pyruvate fermentation to acetate and lactate II|g__Staphylococcus.s__Staphylococcus_epidermidis	267.1189153	MBM169
PWY-5100: pyruvate fermentation to acetate and lactate II|g__Staphylococcus.s__Staphylococcus_aureus	179.5374234485	MBM169
PWY-5100: pyruvate fermentation to acetate and lactate II|g__Corynebacterium.s__Corynebacterium_resistens	126.4122391102	MBM169
PWY-5100: pyruvate fermentation to acetate and lactate II|g__Streptococcus.s__Streptococcus_pseudopneumoniae	39.971390433	MBM169
PWY-5100: pyruvate fermentation to acetate and lactate II|g__Streptococcus.s__Streptococcus_mitis	28.595326653	MBM169
PWY-5100: pyruvate fermentation to acetate and lactate II|unclassified	18.021523381	MBM169
P125-PWY: superpathway of (R,R)-butanediol biosynthesis	5702.9245356538	MBM169
P125-PWY: superpathway of (R,R)-butanediol biosynthesis|g__Staphylococcus.s__Staphylococcus_epidermidis	208.0284808987	MBM169
P125-PWY: superpathway of (R,R)-butanediol biosynthesis|g__Streptococcus.s__Streptococcus_pneumoniae	147.5405175257	MBM169
P125-PWY: superpathway of (R,R)-butanediol biosynthesis|g__Staphylococcus.s__Staphylococcus_aureus	122.296105941	MBM169
P125-PWY: superpathway of (R,R)-butanediol biosynthesis|g__Staphylococcus.s__Staphylococcus_capitis	77.2759508572	MBM169
PWY-8178: pentose phosphate pathway (non-oxidative branch) II	5332.627741803	MBM169
PWY-8178: pentose phosphate pathway (non-oxidative branch) II|g__Streptococcus.s__Streptococcus_salivarius	2109.5050225544	MBM169
PWY-8178: pentose phosphate pathway (non-oxidative branch) II|g__Streptococcus.s__Streptococcus_pneumoniae	829.1799058473	MBM169
PWY-8178: pentose phosphate pathway (non-oxidative branch) II|g__Corynebacterium.s__Corynebacterium_resistens	284.4620340956	MBM169
PWY-8178: pentose phosphate pathway (non-oxidative branch) II|g__Staphylococcus.s__Staphylococcus_aureus	106.7409271801	MBM169
PWY-8178: pentose phosphate pathway (non-oxidative branch) II|g__Staphylococcus.s__Staphylococcus_capitis	68.0132789289	MBM169
PWY-8178: pentose phosphate pathway (non-oxidative branch) II|g__Streptococcus.s__Streptococcus_pseudopneumoniae	35.6681604488	MBM169
PWY-8178: pentose phosphate pathway (non-oxidative branch) II|g__Micrococcus.s__Micrococcus_aloeverae	21.2303808515	MBM169
PWY-8178: pentose phosphate pathway (non-oxidative branch) II|g__Streptococcus.s__Streptococcus_mitis	20.3997897044	MBM169
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	5228.8080207974	MBM169
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Streptococcus.s__Streptococcus_salivarius	467.7207784663	MBM169
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Staphylococcus.s__Staphylococcus_capitis	285.2490538505	MBM169
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Corynebacterium.s__Corynebacterium_resistens	284.5384257248	MBM169
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Staphylococcus.s__Staphylococcus_lugdunensis	198.7340190168	MBM169
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Cutibacterium.s__Cutibacterium_acnes	160.2625913484	MBM169
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Streptococcus.s__Streptococcus_pneumoniae	112.6486022703	MBM169
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Staphylococcus.s__Staphylococcus_aureus	52.9146303722	MBM169
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Micrococcus.s__Micrococcus_luteus	46.3071116071	MBM169
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Micrococcus.s__Micrococcus_aloeverae	44.2631888419	MBM169
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Staphylococcus.s__Staphylococcus_epidermidis	41.1395707081	MBM169
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|unclassified	17.8901020335	MBM169
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Streptococcus.s__Streptococcus_pseudopneumoniae	6.0110707018	MBM169
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Streptococcus.s__Streptococcus_mitis	1.9203932965	MBM169
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	5004.1911279453	MBM169
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Streptococcus.s__Streptococcus_pneumoniae	497.6141034737	MBM169
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Corynebacterium.s__Corynebacterium_resistens	409.2427139366	MBM169
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Staphylococcus.s__Staphylococcus_capitis	138.6371325829	MBM169
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Staphylococcus.s__Staphylococcus_lugdunensis	105.860125256	MBM169
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Cutibacterium.s__Cutibacterium_acnes	81.2950215393	MBM169
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Staphylococcus.s__Staphylococcus_epidermidis	49.8801801875	MBM169
