PAG	DNF11_0001	Pregnancy-associated glycoprotein
FAM63A	DNF11_2091	Protein FAM63A
mpr1	DNF11_2092	Multistep phosphorelay regulator 1
TBCD	DNF11_2093	Tubulin-specific chaperone D
Fam192a	DNF11_2094	uncharacterized protein
nhm1	DNF11_2095	m7GpppX diphosphatase
	DNF11_2096	uncharacterized protein
gda1	DNF11_2097	putative guanosine-diphosphatase
rho1	DNF11_2098	GTP-binding protein rho1
COF1	DNF11_2099	Cofilin
Pcyox1	DNF11_2100	Prenylcysteine oxidase
erg24_1	DNF11_2101	Delta(14)-sterol reductase
Ndufa4l2	DNF11_2102	NADH dehydrogenase [ubiquinone
phyA_1	DNF11_2103	3-phytase A
phyA_2	DNF11_2104	3-phytase A
phyA_3	DNF11_2105	3-phytase A
rpl5b	DNF11_2106	60S ribosomal protein L5-B
rpl-15	DNF11_2107	60S ribosomal protein L15
gtaF	DNF11_2108	GATA zinc finger domain-containing protein 6
cyc1	DNF11_2109	Cytochrome c
psd3	DNF11_2110	Phosphatidylserine decarboxylase 3 alpha chain
	DNF11_2111	Putative dihydroxy-acid dehydratase, mitochondrial
	DNF11_2112	putative aspartate-semialdehyde dehydrogenase
	DNF11_2113	uncharacterized protein
	DNF11_2114	hypothetical protein
cyp15	DNF11_2115	Peptidyl-prolyl cis-trans isomerase cyp15
cct5	DNF11_2116	T-complex protein 1 subunit epsilon
tif211	DNF11_2117	Eukaryotic translation initiation factor 2 subunit alpha
ufd2	DNF11_2118	Ubiquitin conjugation factor E4
alg1	DNF11_2119	Chitobiosyldiphosphodolichol beta-mannosyltransferase
ku80	DNF11_2120	ATP-dependent DNA helicase II subunit 2
	DNF11_2121	hypothetical protein
sfc6	DNF11_2122	Transcription factor tau subunit sfc6
	DNF11_2123	ATPase involved in DNA repair
	DNF11_2124	Afadin- and alpha -actinin-Binding protein
	DNF11_2125	putative cation-transporting ATPase.11c
PHT1-6	DNF11_2126	putative inorganic phosphate transporter 1-6
PEX7	DNF11_2127	Peroxisomal targeting signal 2 receptor
MIA40	DNF11_2128	Mitochondrial intermembrane space import and assembly protein 40
	DNF11_2129	short chain dehydrogenase
YTP1	DNF11_2130	Protein YTP1
	DNF11_2131	SAM domain (Sterile alpha motif)
	DNF11_2132	Sec7 domain protein
ANAPC2	DNF11_2133	Anaphase-promoting complex subunit 2
MAT2B	DNF11_2134	Methionine adenosyltransferase 2 subunit beta
RSC9	DNF11_2135	Chromatin structure-remodeling complex subunit RSC9
	DNF11_2136	Mysoin-binding motif of peroxisomes
Oxa1l	DNF11_2137	Mitochondrial inner membrane protein OXA1L
tbp1_2	DNF11_2138	TATA-box-binding protein
hsf1	DNF11_2139	Heat shock factor protein
	DNF11_2140	hypothetical protein
polr3c	DNF11_2141	DNA-directed RNA polymerase III subunit RPC3
	DNF11_2142	Putative cytochrome c1 heme lyase
	DNF11_2143	putative DNA replication complex GINS protein PSF2
	DNF11_2144	hypothetical protein
	DNF11_2145	uncharacterized protein
	DNF11_2146	tRNA (uracil(54)-C(5))-methyltransferase
	DNF11_2147	EamA-like transporter family protein
	DNF11_2148	SRR1-like protein
Arhgap15_2	DNF11_2149	Rho GTPase-activating protein 15
mug60	DNF11_2150	Meiotically up-regulated gene 60 protein
rpb-5	DNF11_2151	DNA-directed RNA polymerases I, II, and III subunit RPABC1
	DNF11_2152	Golgin subfamily A member 7/ERF4 family protein
AVL9	DNF11_2153	Late secretory pathway protein AVL9
Lsm2	DNF11_2154	U6 snRNA-associated Sm-like protein LSm2
wrs1	DNF11_2155	Tryptophan--tRNA ligase, cytoplasmic
cka1	DNF11_2156	Casein kinase II subunit alpha
rsc1	DNF11_2157	Chromatin structure-remodeling complex subunit rsc1
	DNF11_2158	uncharacterized protein
	DNF11_2159	hypothetical protein
CHS7_1	DNF11_2160	Chitin synthase 7
	DNF11_2161	hypothetical protein
MCR1_1	DNF11_2162	NADH-cytochrome b5 reductase 2
MED36A	DNF11_2163	Mediator of RNA polymerase II transcription subunit 36a
TUB4	DNF11_2164	Tubulin gamma chain
cch1	DNF11_2165	Calcium-channel protein cch1
	DNF11_2166	putative mitochondrial chaperone bcs1
Slc41a1	DNF11_2167	Solute carrier family 41 member 1
TIF32	DNF11_2168	Eukaryotic translation initiation factor 3 subunit A
SF3B2	DNF11_2169	Splicing factor 3B subunit 2
	DNF11_2170	SH3-binding, glutamic acid-rich protein
pup1	DNF11_2171	putative proteasome subunit beta type-2
aif1	DNF11_2172	Apoptosis-inducing factor 1
EDE1	DNF11_2173	EH domain-containing and endocytosis protein 1
hfi1	DNF11_2174	Transcriptional coactivator hfi1
svkA_1	DNF11_2175	Serine/threonine-protein kinase svkA
ssh4	DNF11_2176	Protein ssh4
YAP6	DNF11_2177	AP-1-like transcription factor YAP6
kti12	DNF11_2178	Protein kti12
	DNF11_2179	hypothetical protein
PRP5	DNF11_2180	Pre-mRNA-processing ATP-dependent RNA helicase PRP5
cid14	DNF11_2181	Poly(A) RNA polymerase cid14
	DNF11_2182	proteasome-activating nucleotidase
TIF34	DNF11_2183	Eukaryotic translation initiation factor 3 subunit I
	DNF11_2184	uncharacterized protein
	DNF11_2185	uncharacterized protein
ibp1	DNF11_2186	Dual specificity phosphatase ibp1
	DNF11_2187	Bromodomain associated
	DNF11_2188	selT/selW/selH selenoprotein domain protein
	DNF11_2189	NAD-dependent protein deacetylase hst4
ETF1	DNF11_2190	putative electron transfer flavoprotein subunit alpha, mitochondrial
	DNF11_2191	Anaphase-promoting complex, cyclosome, subunit 4
	DNF11_2192	Pregnancy-associated glycoprotein 1
	DNF11_2193	hypothetical protein
FRS1	DNF11_2194	Phenylalanine--tRNA ligase beta subunit
	DNF11_2195	putative electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial
	DNF11_2196	hypothetical protein
YKE2	DNF11_2197	Prefoldin subunit 6
	DNF11_2198	hypothetical protein
	DNF11_2199	hypothetical protein
met26	DNF11_2200	putative 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
	DNF11_2201	hypothetical protein
	DNF11_2202	Major allergen Mal f 1
HVA22I	DNF11_2203	HVA22-like protein i
ptp-4	DNF11_2204	Tyrosine-protein phosphatase 4
exo70	DNF11_2205	Exocyst complex protein exo70
	DNF11_2206	hypothetical protein
tif451	DNF11_2207	Eukaryotic translation initiation factor 4E-1
hal4	DNF11_2208	Serine/threonine-protein kinase hal4
ALAD	DNF11_2209	Delta-aminolevulinic acid dehydratase
	DNF11_2210	GTPase
	DNF11_2211	Cwf15/Cwc15 cell cycle control protein
	DNF11_2212	uncharacterized protein
CBK1	DNF11_2213	Serine/threonine-protein kinase CBK1
gcv2	DNF11_2214	Putative glycine dehydrogenase [decarboxylating
hxkA	DNF11_2215	Hexokinase
	DNF11_2216	hypothetical protein
RPL44	DNF11_2217	60S ribosomal protein L44
ptkA	DNF11_2218	Serine/threonine-protein kinase bur1
SLU7	DNF11_2219	Pre-mRNA-splicing factor SLU7
frr	DNF11_2220	Ribosome-recycling factor
taf9	DNF11_2221	Transcription initiation factor TFIID subunit 9
ret2	DNF11_2222	Coatomer subunit delta
CPR1	DNF11_2223	putative proteasome subunit beta type-4
mis12	DNF11_2224	Centromere protein mis12
BBP	DNF11_2225	Branchpoint-bridging protein
	DNF11_2226	hypothetical protein
DGK1	DNF11_2227	CTP-dependent diacylglycerol kinase 1
CLF1	DNF11_2228	Pre-mRNA-splicing factor CLF1
hmt2	DNF11_2229	Sulfide:quinone oxidoreductase, mitochondrial
	DNF11_2230	uncharacterized protein
MGM101	DNF11_2231	Mitochondrial genome maintenance protein MGM101
RRP3	DNF11_2232	ATP-dependent rRNA helicase RRP3
lsk1_2	DNF11_2233	CTD kinase subunit alpha
	DNF11_2234	uncharacterized protein
	DNF11_2235	hypothetical protein
	DNF11_2236	hypothetical protein
mug56	DNF11_2237	Meiotically up-regulated gene 56 protein
mrps12	DNF11_2238	putative 37S ribosomal protein S12, mitochondrial
tef5	DNF11_2239	Elongation factor 1-beta
YNG2_1	DNF11_2240	Chromatin modification-related protein YNG2
FPR1	DNF11_2241	FK506-binding protein 1
NTF2	DNF11_2242	Nuclear transport factor 2
CTSD	DNF11_2243	putative aspartic-type endopeptidase CTSD
	DNF11_2244	hypothetical protein
taf2	DNF11_2245	Transcription initiation factor TFIID subunit 2
MED7	DNF11_2246	Mediator of RNA polymerase II transcription subunit 7
DNA2	DNF11_2247	DNA replication ATP-dependent helicase DNA2
	DNF11_2248	uncharacterized protein
aat1	DNF11_2249	Amino acid transporter 1
	DNF11_2250	uncharacterized protein
cat1	DNF11_2251	Cationic amino acid transporter 1
eso1	DNF11_2252	N-acetyltransferase eso1
Coprox	DNF11_2253	Coproporphyrinogen-III oxidase
	DNF11_2254	uncharacterized protein
ksg1	DNF11_2255	Serine/threonine-protein kinase ksg1
	DNF11_2256	hypothetical protein
uap2	DNF11_2257	Splicing factor U2AF-associated protein 2
COQ1	DNF11_2258	putative hexaprenyl pyrophosphate synthase, mitochondrial
Ptrh1	DNF11_2259	putative peptidyl-tRNA hydrolase
	DNF11_2260	uncharacterized protein
	DNF11_2261	hypothetical protein
Ccdc94	DNF11_2262	Coiled-coil domain-containing protein 94
	DNF11_2263	hypothetical protein
DTD1	DNF11_2264	D-tyrosyl-tRNA(Tyr) deacylase
	DNF11_2265	RecA-superfamily ATPases implicated in signal transduction
qutG	DNF11_2266	Protein qutG
NUP57	DNF11_2267	Nucleoporin NUP57
sdaA	DNF11_2268	L-serine dehydratase
	DNF11_2269	hypothetical protein
	DNF11_2270	uncharacterized protein
	DNF11_2271	hypothetical protein
	DNF11_2272	uncharacterized protein
ubxn1-b	DNF11_2273	UBX domain-containing protein 1-B
NGL2	DNF11_2274	RNA exonuclease NGL2
	DNF11_2275	Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase 1
TRM61	DNF11_2276	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRM61
	DNF11_2277	uncharacterized protein
tfs1	DNF11_2278	Transcription elongation factor S-II
SPCS1	DNF11_2279	Signal peptidase complex subunit 1
CAJ1	DNF11_2280	Protein CAJ1
nae1	DNF11_2281	NEDD8-activating enzyme E1 regulatory subunit
	DNF11_2282	uncharacterized protein
Usp22	DNF11_2283	Ubiquitin carboxyl-terminal hydrolase 22
est	DNF11_2284	Esterase
sfp1	DNF11_2285	Zinc finger protein sfp1
GLO1	DNF11_2286	Lactoylglutathione lyase
TYS1	DNF11_2287	Tyrosine--tRNA ligase, cytoplasmic
	DNF11_2288	uncharacterized protein
Slc29a1	DNF11_2289	Equilibrative nucleoside transporter 1
	DNF11_2290	NADH-ubiquinone oxidoreductase 9.5 kDa subunit
	DNF11_2291	hypothetical protein
	DNF11_2292	hypothetical protein
SEC13	DNF11_2293	Protein transport protein SEC13
prp43	DNF11_2294	putative pre-mRNA-splicing factor ATP-dependent RNA helicase prp43
nup85	DNF11_2295	Nuclear pore complex protein Nup85
rpl23a	DNF11_2296	60S ribosomal protein L23
	DNF11_2297	GTP cyclohydrolase 1
	DNF11_2298	uncharacterized protein
kin1	DNF11_2299	Protein kinase kin1
cct6	DNF11_2300	T-complex protein 1 subunit zeta
bun107	DNF11_2301	UBP9-binding protein bun107
PAN1	DNF11_2302	Actin cytoskeleton-regulatory complex protein PAN1
CHS4	DNF11_2303	Chitin synthase 4
PALD1	DNF11_2304	Paladin
	DNF11_2305	Alpha/beta hydrolase family protein
rpl-17	DNF11_2306	60S ribosomal protein L17
VAMP727	DNF11_2307	Vesicle-associated membrane protein 727
kgd1	DNF11_2308	2-oxoglutarate dehydrogenase, mitochondrial
gdh-1	DNF11_2309	NAD-specific glutamate dehydrogenase
	DNF11_2310	uncharacterized protein
ctk3	DNF11_2311	CTD kinase subunit gamma
CIA1	DNF11_2312	putative cytosolic iron-sulfur protein assembly protein 1
	DNF11_2313	hypothetical protein
pmc1	DNF11_2314	Calcium-transporting ATPase 2
	DNF11_2315	HAD phosphoserine phosphatase-like hydrolase, family IB
	DNF11_2316	hypothetical protein
SRP68	DNF11_2317	Signal recognition particle subunit SRP68
ASMTL	DNF11_2318	N-acetylserotonin O-methyltransferase-like protein
rsm25	DNF11_2319	37S ribosomal protein S25, mitochondrial
SER3	DNF11_2320	D-3-phosphoglycerate dehydrogenase 1
CDC11	DNF11_2321	Cell division control protein 11
CHS7_2	DNF11_2322	Chitin synthase export chaperone
	DNF11_2323	hypothetical protein
	DNF11_2324	uncharacterized protein
	DNF11_2325	hypothetical protein
CDC73	DNF11_2326	Cell division control protein 73
cse-4	DNF11_2327	Histone H3-like centromeric protein cse-4
pac2	DNF11_2328	cAMP-independent regulatory protein pac2
	DNF11_2329	hypothetical protein
	DNF11_2330	Mitochondrial ribosomal subunit S27
	DNF11_2331	Chorismate synthase
glo3	DNF11_2332	ADP-ribosylation factor GTPase-activating protein glo3
not2	DNF11_2333	General negative regulator of transcription subunit 2
	DNF11_2334	hypothetical protein
gad8	DNF11_2335	Serine/threonine-protein kinase gad8
rpc19	DNF11_2336	DNA-directed RNA polymerases I and III subunit RPAC2
TP53I3	DNF11_2337	Quinone oxidoreductase PIG3
pgmA	DNF11_2338	Phosphoglucomutase
sen-34	DNF11_2339	putative tRNA-splicing endonuclease subunit sen-34
pik3c3	DNF11_2340	Phosphatidylinositol 3-kinase catalytic subunit type 3
alg11	DNF11_2341	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase
Etfb	DNF11_2342	Electron transfer flavoprotein subunit beta
hcs1	DNF11_2343	DNA polymerase alpha-associated DNA helicase A
ncs1	DNF11_2344	Calcium-binding protein NCS-1
trp4	DNF11_2345	Anthranilate phosphoribosyltransferase
	DNF11_2346	uncharacterized protein
pmd1_2	DNF11_2347	Leptomycin B resistance protein pmd1
ade5	DNF11_2348	Phosphoribosylglycinamide formyltransferase
fzo1	DNF11_2349	Transmembrane GTPase fzo1
	DNF11_2350	uncharacterized protein
	DNF11_2351	60S ribosomal protein L25
PKNOX2	DNF11_2352	Homeobox protein PKNOX2
	DNF11_2353	FHA domain protein
EXOSC7	DNF11_2354	Exosome complex component RRP42
LEU1	DNF11_2355	3-isopropylmalate dehydratase
vma3	DNF11_2356	V-type proton ATPase 16 kDa proteolipid subunit
mppB	DNF11_2357	Mitochondrial-processing peptidase subunit beta
slx8	DNF11_2358	E3 ubiquitin-protein ligase complex slx8-rfp subunit slx8
MED6	DNF11_2359	Mediator of RNA polymerase II transcription subunit 6
	DNF11_2360	hypothetical protein
	DNF11_2361	Ubiquitin-2 like Rad60 SUMO-like protein
SEC11	DNF11_2362	Signal peptidase complex catalytic subunit SEC11
	DNF11_2363	hypothetical protein
pla1	DNF11_2364	Poly(A) polymerase pla1
MBTPS2	DNF11_2365	Membrane-bound transcription factor site-2 protease
	DNF11_2366	ENTH domain-containing protein
pup2	DNF11_2367	putative proteasome subunit alpha type-5
trapcc10-1	DNF11_2368	Trafficking protein particle complex subunit 10
Rpap1	DNF11_2369	RNA polymerase II-associated protein 1
taf13	DNF11_2370	Transcription initiation factor TFIID subunit 13
GLR1	DNF11_2371	Glutathione reductase
	DNF11_2372	hypothetical protein
WDR89	DNF11_2373	WD repeat-containing protein 89
	DNF11_2374	uncharacterized protein
Taf12	DNF11_2375	Transcription initiation factor TFIID subunit 12
	DNF11_2376	uncharacterized protein
	DNF11_2377	hypothetical protein
	DNF11_2378	putative U3 small nucleolar RNA-associated protein 18
HEM3	DNF11_2379	Porphobilinogen deaminase
atr	DNF11_2380	Serine/threonine-protein kinase atr
KES1	DNF11_2381	Protein KES1
	DNF11_2382	uncharacterized protein
PBY1	DNF11_2383	putative tubulin--tyrosine ligase PBY1
RPS8B	DNF11_2384	40S ribosomal protein S8-B
	DNF11_2385	hypothetical protein
GYP5	DNF11_2386	GTPase-activating protein GYP5
Osbpl3	DNF11_2387	Oxysterol-binding protein-related protein 3
Dopey1	DNF11_2388	Protein dopey-1
EXO84	DNF11_2389	Exocyst complex component EXO84
xpr1	DNF11_2390	SPX and EXS domain-containing protein 3
rpsO	DNF11_2391	30S ribosomal protein S15
	DNF11_2392	uncharacterized protein
	DNF11_2393	SHQ1 protein
Wdr70	DNF11_2394	WD repeat-containing protein 70
CTS1	DNF11_2395	Endochitinase 1
	DNF11_2396	uncharacterized protein
	DNF11_2397	Signal recognition particle 14kD protein
	DNF11_2398	uncharacterized protein
ppk30	DNF11_2399	Serine/threonine-protein kinase ppk30
	DNF11_2400	hypothetical protein
SLX1	DNF11_2401	Structure-specific endonuclease subunit SLX1
	DNF11_2402	hypothetical protein
bimG	DNF11_2403	Serine/threonine-protein phosphatase PP1
	DNF11_2404	hypothetical protein
CLP1	DNF11_2405	mRNA cleavage and polyadenylation factor CLP1
	DNF11_2406	LIN1-like protein
NDUFAF2	DNF11_2407	Mimitin, mitochondrial
TKL1	DNF11_2408	Transketolase 1
leu3	DNF11_2409	2-isopropylmalate synthase
	DNF11_2410	putative TLC domain-containing protein C17A2.02c
set11	DNF11_2411	Ribosomal N-lysine methyltransferase set11
Pex19	DNF11_2412	Peroxisomal biogenesis factor 19
PFA4	DNF11_2413	Palmitoyltransferase PFA4
MYO1	DNF11_2414	Myosin-1
	DNF11_2415	Acyl-protein thioesterase 1
priB	DNF11_2416	Protein priB
RPL34B	DNF11_2417	60S ribosomal protein L34-B
rplF	DNF11_2418	50S ribosomal protein L6
hrd1	DNF11_2419	ERAD-associated E3 ubiquitin-protein ligase hrd1
UTR1	DNF11_2420	NAD(+) kinase
	DNF11_2421	Zinc finger protein C25B8.19c
	DNF11_2422	hypothetical protein
	DNF11_2423	hypothetical protein
	DNF11_2424	hypothetical protein
	DNF11_2425	Phosducin-like protein C2A9.09
	DNF11_2426	uncharacterized protein
SMI1	DNF11_2427	Cell wall assembly regulator SMI1
	DNF11_2428	putative mannosyl-oligosaccharide glucosidase
Dmn	DNF11_2429	putative dynactin subunit 2
	DNF11_2430	uncharacterized protein
	DNF11_2431	NAD/NADP transhydrogenase alpha subunit
SPT6	DNF11_2432	Transcription elongation factor SPT6
plcN_1	DNF11_2433	Non-hemolytic phospholipase C
suv420h1	DNF11_2434	Histone-lysine N-methyltransferase SUV420H1
PSMC4	DNF11_2435	26S protease regulatory subunit 6B
pro3	DNF11_2436	Pyrroline-5-carboxylate reductase
	DNF11_2437	ATPase involved in DNA repair
	DNF11_2438	hypothetical protein
Cyp4f3	DNF11_2439	Leukotriene-B(4) omega-hydroxylase 2
	DNF11_2440	uncharacterized protein
sconB	DNF11_2441	putative E3 ubiquitin ligase complex SCF subunitsconB
RPL26B	DNF11_2442	60S ribosomal protein L26-2
SAR1	DNF11_2443	Small COPII coat GTPase SAR1
gsk3	DNF11_2444	Protein kinase gsk3
ureD	DNF11_2445	Urease accessory protein UreD
fcf1	DNF11_2446	rRNA-processing protein fcf1
SUI1A	DNF11_2447	Protein translation factor SUI1
	DNF11_2448	rRNA processing
	DNF11_2449	hypothetical protein
ALG2	DNF11_2450	Alpha-1,3/1,6-mannosyltransferase ALG2
UGO1	DNF11_2451	Mitochondrial fusion and transport protein UGO1
trm4b	DNF11_2452	Multisite-specific tRNA:(cytosine-C(5))-methyltransferase trm4b
dnaJ_2	DNF11_2453	Chaperone protein DnaJ
stp1	DNF11_2454	Low molecular weight phosphotyrosine protein phosphatase
sly1	DNF11_2455	Protein sly1
Acot8	DNF11_2456	Acyl-coenzyme A thioesterase 8
jmj1	DNF11_2457	JmjC domain-containing protein 1
mpd2	DNF11_2458	GYF domain-containing protein mpd2
RPD3_1	DNF11_2459	Histone deacetylase RPD3
vma-7	DNF11_2460	V-type proton ATPase subunit F
	DNF11_2461	Ubiquitin
PTRH2	DNF11_2462	Peptidyl-tRNA hydrolase 2, mitochondrial
dcp2	DNF11_2463	mRNA decapping complex subunit 2
bio2	DNF11_2464	Biotin synthase
	DNF11_2465	Alpha/beta hydrolase family protein
nudA	DNF11_2466	Dynein heavy chain, cytoplasmic
CDC3	DNF11_2467	Cell division control protein 3
LEA1	DNF11_2468	U2 small nuclear ribonucleoprotein A'
DYNC1H1	DNF11_2469	Cytoplasmic dynein 1 heavy chain 1
hap2	DNF11_2470	Transcriptional activator hap2
VPS13	DNF11_2471	Vacuolar protein sorting-associated protein 13
MRPL4	DNF11_2472	54S ribosomal protein L4, mitochondrial
pdt1	DNF11_2473	Manganese transporter pdt1
	DNF11_2474	hypothetical protein
stlA	DNF11_2475	Chalcone synthase stlA
nup189	DNF11_2476	Nucleoporin nup189
	DNF11_2477	hypothetical protein
Hscb	DNF11_2478	Iron-sulfur cluster co-chaperone protein HscB, mitochondrial
	DNF11_2479	Stage II sporulation protein E (SpoIIE)
Klhdc4	DNF11_2480	Kelch domain-containing protein 4
ERV41	DNF11_2481	ER-derived vesicles protein ERV41
lsm7	DNF11_2482	U6 snRNA-associated Sm-like protein LSm7
	DNF11_2483	Centromere/kinetochore Zw10
pab1	DNF11_2484	Protein phosphatase PP2A regulatory subunit B
dpf-6	DNF11_2485	Dipeptidyl peptidase family member 6
CTR3	DNF11_2486	Copper transport protein CTR3
Fbxw7	DNF11_2487	F-box/WD repeat-containing protein 7
	DNF11_2488	chaperone protein DnaJ
PUS1	DNF11_2489	tRNA pseudouridine synthase 1
	DNF11_2490	uncharacterized protein
actr2	DNF11_2491	Actin-related protein 2
COQ8	DNF11_2492	uncharacterized protein
COX6	DNF11_2493	Cytochrome c oxidase subunit 6, mitochondrial
	DNF11_2494	uncharacterized protein
ML2	DNF11_2495	Protein MEI2-like 2
ypt5	DNF11_2496	GTP-binding protein ypt5
PAN6	DNF11_2497	Pantoate--beta-alanine ligase
metap1	DNF11_2498	Methionine aminopeptidase 1
TAH18	DNF11_2499	uncharacterized protein
tef3_1	DNF11_2500	Elongation factor 1-gamma
PAC1_1	DNF11_2501	Proteasome subunit alpha type-4-1
SmD3	DNF11_2502	Small nuclear ribonucleoprotein Sm D3
NHP6	DNF11_2503	Non-histone chromosomal protein 6
CTP1	DNF11_2504	Tricarboxylate transport protein
	DNF11_2505	hypothetical protein
MRD1	DNF11_2506	Multiple RNA-binding domain-containing protein 1
NUT2	DNF11_2507	Mediator of RNA polymerase II transcription subunit 10
rpn3	DNF11_2508	putative 26S proteasome regulatory subunit rpn3
	DNF11_2509	hypothetical protein
Mlp84B	DNF11_2510	Muscle LIM protein Mlp84B
	DNF11_2511	putative choline-phosphate cytidylyltransferase
nuo-14.8	DNF11_2512	NADH-ubiquinone oxidoreductase 14.8 kDa subunit
ppe1	DNF11_2513	Serine/threonine-protein phosphatase ppe1
	DNF11_2514	hypothetical protein
dld1	DNF11_2515	Dihydrolipoyl dehydrogenase, mitochondrial
mettl14	DNF11_2516	Methyltransferase-like protein 14
	DNF11_2517	uncharacterized protein
	DNF11_2518	hypothetical protein
NIF3	DNF11_2519	NGG1-interacting factor 3
rpc2	DNF11_2520	DNA-directed RNA polymerase III subunit RPC2
EMI1	DNF11_2521	Early meiotic induction protein 1
	DNF11_2522	Mago binding protein
RpL28	DNF11_2523	60S ribosomal protein L28
VBP1	DNF11_2524	Prefoldin subunit 3
IFM1	DNF11_2525	Translation initiation factor IF-2, mitochondrial
Ube2g1	DNF11_2526	Ubiquitin-conjugating enzyme E2 G1
CNOT7	DNF11_2527	CCR4-NOT transcription complex subunit 7
rpn10	DNF11_2528	26S proteasome regulatory subunit rpn10
PRA1	DNF11_2529	Pheromone receptor 1
Exosc4	DNF11_2530	Exosome complex component RRP41
GAPD	DNF11_2531	Glyceraldehyde-3-phosphate dehydrogenase
scd1	DNF11_2532	Rho guanine nucleotide exchange factor scd1
	DNF11_2533	Protein disulfide-isomerase
GULO	DNF11_2534	L-gulonolactone oxidase
rpn9	DNF11_2535	putative 26S proteasome regulatory subunit rpn9
OPI3	DNF11_2536	Phosphatidyl-N-methylethanolamine N-methyltransferase
gpi12	DNF11_2537	putative N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase
ran1_1	DNF11_2538	Negative regulator of sexual conjugation and meiosis
	DNF11_2539	hypothetical protein
RCF1	DNF11_2540	Respiratory supercomplex factor 1, mitochondrial
	DNF11_2541	hypothetical protein
HOG1	DNF11_2542	Mitogen-activated protein kinase HOG1
ehs1	DNF11_2543	Calcium influx-promoting protein ehs1
	DNF11_2544	hypothetical protein
RFT1	DNF11_2545	Oligosaccharide translocation protein RFT1
	DNF11_2546	uncharacterized protein
	DNF11_2547	uncharacterized protein
Rpb11	DNF11_2548	DNA-directed RNA polymerase II subunit RPB11
PEX14	DNF11_2549	Peroxisomal membrane protein PER10
Vps45	DNF11_2550	Vacuolar protein sorting-associated protein 45
mtr	DNF11_2551	N amino acid transport system protein
	DNF11_2552	putative mitochondrial 2-oxodicarboxylate carrier
FRK1_1	DNF11_2553	Fatty acyl-CoA synthetase and RNA processing-associated kinase 1
FRK1_2	DNF11_2554	Fatty acyl-CoA synthetase and RNA processing-associated kinase 1
FRK1_3	DNF11_2555	Fatty acyl-CoA synthetase and RNA processing-associated kinase 1
	DNF11_2556	hypothetical protein
PAN3	DNF11_2557	PAB-dependent poly(A)-specific ribonuclease subunit PAN3
cid1	DNF11_2558	Poly(A) RNA polymerase protein cid1
	DNF11_2559	hypothetical protein
	DNF11_2560	B-block binding subunit of TFIIIC
DUSP4	DNF11_2561	Dual specificity protein phosphatase 4
	DNF11_2562	uncharacterized protein
steA	DNF11_2563	Transcription factor steA
ubp6	DNF11_2564	Ubiquitin carboxyl-terminal hydrolase 6
	DNF11_2565	putative NOC2 family protein.04
pof10	DNF11_2566	F-box/WD repeat-containing protein pof10
DBNL	DNF11_2567	Drebrin-like protein
emc1	DNF11_2568	ER membrane protein complex subunit 1
	DNF11_2569	hypothetical protein
	DNF11_2570	hypothetical protein
YNG2_2	DNF11_2571	Chromatin modification-related protein YNG2
	DNF11_2572	protoporphyrinogen oxidase
	DNF11_2573	Lysine/ornithine N-monooxygenase
	DNF11_2574	uncharacterized protein
	DNF11_2575	uncharacterized protein
ERG11	DNF11_2576	Lanosterol 14-alpha demethylase
	DNF11_2577	Homoserine dehydrogenase
	DNF11_2578	hypothetical protein
PRE2	DNF11_2579	Proteasome subunit beta type-5
FIG4	DNF11_2580	Polyphosphoinositide phosphatase
sts1	DNF11_2581	Delta(24(24(1)))-sterol reductase
MNP1	DNF11_2582	54S ribosomal protein L12, mitochondrial
	DNF11_2583	hypothetical protein
HMA5	DNF11_2584	putative copper-transporting ATPase HMA5
	DNF11_2585	F-box-like protein
	DNF11_2586	50S ribosomal protein L10
UPS1	DNF11_2587	Protein UPS1, mitochondrial
SRP54	DNF11_2588	Signal recognition particle subunit SRP54
GPI18	DNF11_2589	GPI mannosyltransferase 2
	DNF11_2590	Integral membrane protein S linking to the transGolgi network
aps2	DNF11_2591	AP-2 complex subunit sigma
	DNF11_2592	Mitochondrial ribosomal protein subunit L20
nuo-21_1	DNF11_2593	NADH-ubiquinone oxidoreductase 21 kDa subunit
sec72	DNF11_2594	Translocation protein sec72
atp12	DNF11_2595	Protein atp12, mitochondrial
PEX30	DNF11_2596	Peroxisomal membrane protein PEX30
PIGS	DNF11_2597	GPI transamidase component PIG-S
	DNF11_2598	hypothetical protein
	DNF11_2599	hypothetical protein
	DNF11_2600	Stress responsive A/B Barrel Domain protein
Gemin2	DNF11_2601	Gem-associated protein 2
	DNF11_2602	Nucleolar protein,Nop52
PET8	DNF11_2603	Putative mitochondrial carrier protein PET8
	DNF11_2604	Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial
sde2	DNF11_2605	Telomere maintenance protein SDE2
	DNF11_2606	hypothetical protein
OGT	DNF11_2607	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit
tnr3	DNF11_2608	Thiamine pyrophosphokinase
